delta,seed,detector,rule,alarms_per_model_year,false_alarms_per_model_year,fdp,episodes,episodes_caught,long_caught,episode_delay_days,"caught, excess 0.05–0.08","caught, excess 0.08–0.12","caught, excess 0.12–0.2","caught, excess 0.2–1",power_per_test,far_per_test,p_any_false_alarm_per_window,fleet_alarms,fleet_false,non_null_share
0.02,1,MeanShift(3),bonferroni + split_common,0.06006730229949523,0.0035333707234997194,0.058823529411764705,233,0.12446351931330472,0.1895424836601307,120.0,0.06349206349206349,0.3888888888888889,0.46153846153846156,0.5714285714285714,0.02711864406779661,0.0003486750348675035,0.011235955056179775,1,0,0.17061885482938113
0.02,1,MeanShift(3),bh_window + split_common,0.0795008412787437,0.010600112170499158,0.13333333333333333,220,0.16818181818181818,0.24666666666666667,80.0,0.14754098360655737,0.5,0.7,0.5263157894736842,0.03911735205616851,0.0010251153254741158,0.0056179775280898875,1,0,0.14554744525547444
0.05,1,PH,river по умолчанию,0.0,0.0,0.0,196,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1981741573033708
0.05,1,PH,uncorrected,0.058300616937745374,0.007066741446999439,0.12121212121212122,121,0.21487603305785125,0.3466666666666667,90.0,0.0,0.391304347826087,0.2631578947368421,0.5454545454545454,0.048414023372287146,0.0006326111023248458,0.016853932584269662,0,0,0.08653568332851777
0.05,1,PH,bonferroni,0.031800336511497475,0.0,0.0,144,0.1111111111111111,0.19753086419753085,130.0,0.0,0.03225806451612903,0.42857142857142855,0.36,0.024861878453038673,0.0,0.0,0,0,0.10325156873930405
0.05,1,PH,bh_window,0.031800336511497475,0.0,0.0,133,0.12030075187969924,0.2191780821917808,120.0,0.0,0.07142857142857142,0.4166666666666667,0.391304347826087,0.028526148969889066,0.0,0.0,0,0,0.08998859098687964
0.05,1,MeanShift(3),uncorrected,0.06536735838474482,0.0035333707234997194,0.05405405405405406,108,0.3055555555555556,0.5689655172413793,100.0,0.0,0.3684210526315789,0.7692307692307693,1.0,0.08064516129032258,0.0003094059405940594,0.011235955056179775,0,0,0.06291678747463032
0.05,1,MeanShift(3),bonferroni,0.047700504767246216,0.0,0.0,139,0.17985611510791366,0.3048780487804878,140.0,0.0,0.05,0.2857142857142857,0.72,0.03379224030037547,0.0,0.0,0,0,0.11479885057471265
0.05,1,MeanShift(3),bh_window,0.044167134043746496,0.0017666853617498597,0.04,131,0.16793893129770993,0.2857142857142857,120.0,0.0,0.07692307692307693,0.4166666666666667,0.625,0.03636363636363636,0.0001584786053882726,0.0056179775280898875,0,0,0.09469153515064563
0.05,1,MeanShift(3),bonferroni + split_common,0.05653393157599551,0.005300056085249579,0.09375,117,0.23076923076923078,0.38571428571428573,80.0,0.0784313725490196,0.2631578947368421,0.42857142857142855,0.5714285714285714,0.054307116104868915,0.00046918986549890525,0.016853932584269662,1,1,0.0770785219399538
0.05,1,MeanShift(3),bh_window + split_common,0.07243409983174426,0.007066741446999439,0.0975609756097561,102,0.3235294117647059,0.5,80.0,0.16666666666666666,0.5714285714285714,0.3333333333333333,0.7647058823529411,0.09296482412060302,0.0006176652254478073,0.016853932584269662,1,1,0.05789933081175444
0.05,2,PH,river по умолчанию,0.0,0.0,0.0,196,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1981741573033708
0.05,2,PH,uncorrected,0.058300616937745374,0.007066741446999439,0.12121212121212122,121,0.21487603305785125,0.3466666666666667,90.0,0.0,0.391304347826087,0.2631578947368421,0.5454545454545454,0.048414023372287146,0.0006326111023248458,0.016853932584269662,0,0,0.08653568332851777
0.05,2,PH,bonferroni,0.031800336511497475,0.0,0.0,144,0.1111111111111111,0.19753086419753085,130.0,0.0,0.03225806451612903,0.42857142857142855,0.36,0.024861878453038673,0.0,0.0,0,0,0.10325156873930405
0.05,2,PH,bh_window,0.031800336511497475,0.0,0.0,133,0.12030075187969924,0.2191780821917808,120.0,0.0,0.07142857142857142,0.4166666666666667,0.391304347826087,0.028526148969889066,0.0,0.0,0,0,0.08998859098687964
0.05,2,MeanShift(3),uncorrected,0.06536735838474482,0.0035333707234997194,0.05405405405405406,108,0.3055555555555556,0.5689655172413793,100.0,0.0,0.3684210526315789,0.7692307692307693,1.0,0.08064516129032258,0.0003094059405940594,0.011235955056179775,0,0,0.06291678747463032
0.05,2,MeanShift(3),bonferroni,0.047700504767246216,0.0,0.0,139,0.17985611510791366,0.3048780487804878,140.0,0.0,0.05,0.2857142857142857,0.72,0.03379224030037547,0.0,0.0,0,0,0.11479885057471265
0.05,2,MeanShift(3),bh_window,0.044167134043746496,0.0017666853617498597,0.04,131,0.16793893129770993,0.2857142857142857,120.0,0.0,0.07692307692307693,0.4166666666666667,0.625,0.03636363636363636,0.0001584786053882726,0.0056179775280898875,0,0,0.09469153515064563
0.05,2,MeanShift(3),bonferroni + split_common,0.05653393157599551,0.005300056085249579,0.09375,117,0.23076923076923078,0.38571428571428573,80.0,0.0784313725490196,0.2631578947368421,0.42857142857142855,0.5714285714285714,0.054307116104868915,0.00046918986549890525,0.016853932584269662,1,1,0.0770785219399538
0.05,2,MeanShift(3),bh_window + split_common,0.07243409983174426,0.007066741446999439,0.0975609756097561,102,0.3235294117647059,0.5,80.0,0.16666666666666666,0.5714285714285714,0.3333333333333333,0.7647058823529411,0.09296482412060302,0.0006176652254478073,0.016853932584269662,1,1,0.05789933081175444
