detector,config,seed,fwer,far@1e-3,far@1e-4
ADWIN,"B=2000, GPD",14,0.10638297872340426,0.002340425531914894,0.0
ADWIN,"B=2000, GPD",16,0.0425531914893617,0.000851063829787234,0.0
ADWIN,"B=2000, GPD",17,0.02127659574468085,0.0006382978723404255,0.0
ADWIN,"B=2000, GPD",18,0.40425531914893614,0.00574468085106383,0.0019148936170212765
ADWIN,"B=2000, GPD",19,0.2553191489361702,0.004468085106382979,0.0010638297872340426
ADWIN,"B=2000, GPD",20,0.2978723404255319,0.004893617021276595,0.0019148936170212765
ADWIN,"B=2000, GPD",21,0.0851063829787234,0.002340425531914894,0.0
ADWIN,"B=2000, GPD",23,0.2553191489361702,0.0031914893617021275,0.000851063829787234
ADWIN,"B=2000, GPD",22,0.0851063829787234,0.0027659574468085106,0.0002127659574468085
ADWIN,"B=2000, GPD",24,0.10638297872340426,0.002127659574468085,0.0
ADWIN,"B=2000, GPD",25,0.10638297872340426,0.002340425531914894,0.0002127659574468085
ADWIN,"B=2000, GPD",26,0.02127659574468085,0.000851063829787234,0.0
ADWIN,"B=2000, GPD",27,0.1276595744680851,0.0027659574468085106,0.0
PH,"B=500, exp",0,0.0425531914893617,0.0027659574468085106,0.0
PH,"B=500, exp",2,0.0851063829787234,0.001702127659574468,0.0
PH,"B=500, exp",1,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",3,0.23404255319148937,0.004468085106382979,0.0006382978723404255
PH,"B=500, exp",4,0.0425531914893617,0.000851063829787234,0.0
ADWIN,"B=2000, GPD",28,0.2127659574468085,0.004680851063829788,0.0010638297872340426
ADWIN,"B=2000, GPD",29,0.44680851063829785,0.006382978723404255,0.002340425531914894
PH,"B=500, exp",5,0.0425531914893617,0.0010638297872340426,0.0
PH,"B=500, exp",6,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",7,0.0,0.0,0.0
PH,"B=500, exp",8,0.0851063829787234,0.0014893617021276596,0.0002127659574468085
PH,"B=500, exp",9,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",10,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",11,0.0,0.000425531914893617,0.0
PH,"B=500, exp",12,0.19148936170212766,0.004893617021276595,0.0
PH,"B=500, exp",13,0.0,0.0,0.0
PH,"B=500, exp",14,0.0,0.000425531914893617,0.0
PH,"B=500, exp",15,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",16,0.1276595744680851,0.002127659574468085,0.0
PH,"B=500, exp",17,0.0,0.0,0.0
PH,"B=500, exp",18,0.0851063829787234,0.001276595744680851,0.0002127659574468085
PH,"B=500, exp",19,0.425531914893617,0.006808510638297872,0.0019148936170212765
PH,"B=500, exp",20,0.14893617021276595,0.001702127659574468,0.000851063829787234
PH,"B=500, exp",21,0.06382978723404255,0.0010638297872340426,0.0
PH,"B=500, exp",22,0.2127659574468085,0.004468085106382979,0.0
PH,"B=500, exp",23,0.2765957446808511,0.004893617021276595,0.0002127659574468085
PH,"B=500, exp",24,0.1276595744680851,0.002127659574468085,0.0
PH,"B=500, exp",25,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",26,0.0,0.0002127659574468085,0.0
PH,"B=500, exp",27,0.06382978723404255,0.001276595744680851,0.0
PH,"B=500, exp",28,0.0,0.0,0.0
PH,"B=500, exp",29,0.1702127659574468,0.0027659574468085106,0.0
PH,"B=500, GPD",0,0.02127659574468085,0.000851063829787234,0.0
PH,"B=500, GPD",1,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",2,0.0851063829787234,0.001702127659574468,0.0
PH,"B=500, GPD",3,0.23404255319148937,0.004468085106382979,0.0006382978723404255
PH,"B=500, GPD",4,0.0425531914893617,0.000851063829787234,0.0
PH,"B=500, GPD",5,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",6,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",7,0.0,0.0,0.0
PH,"B=500, GPD",8,0.0851063829787234,0.0014893617021276596,0.0002127659574468085
PH,"B=500, GPD",9,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",10,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",11,0.0,0.000425531914893617,0.0
PH,"B=500, GPD",12,0.19148936170212766,0.004893617021276595,0.0
PH,"B=500, GPD",13,0.0,0.0,0.0
PH,"B=500, GPD",14,0.0,0.0,0.0
PH,"B=500, GPD",15,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",16,0.1276595744680851,0.002127659574468085,0.0
PH,"B=500, GPD",17,0.0,0.0,0.0
PH,"B=500, GPD",18,0.0851063829787234,0.001276595744680851,0.0002127659574468085
PH,"B=500, GPD",19,0.2978723404255319,0.004680851063829788,0.0006382978723404255
PH,"B=500, GPD",20,0.14893617021276595,0.001702127659574468,0.000851063829787234
PH,"B=500, GPD",21,0.02127659574468085,0.0006382978723404255,0.0
PH,"B=500, GPD",22,0.2127659574468085,0.00425531914893617,0.0
PH,"B=500, GPD",23,0.2765957446808511,0.004893617021276595,0.0
PH,"B=500, GPD",24,0.1276595744680851,0.002127659574468085,0.0
PH,"B=500, GPD",25,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",26,0.0,0.0002127659574468085,0.0
PH,"B=500, GPD",27,0.06382978723404255,0.001276595744680851,0.0
PH,"B=500, GPD",28,0.0,0.0,0.0
PH,"B=500, GPD",29,0.1702127659574468,0.0027659574468085106,0.0
PH,"B=2000, exp",0,0.02127659574468085,0.000851063829787234,0.0
PH,"B=2000, exp",1,0.0,0.0,0.0
PH,"B=2000, exp",2,0.2765957446808511,0.00425531914893617,0.000851063829787234
PH,"B=2000, exp",3,0.2553191489361702,0.00425531914893617,0.000425531914893617
PH,"B=2000, exp",4,0.0425531914893617,0.001276595744680851,0.0
PH,"B=2000, exp",5,0.0,0.0,0.0
PH,"B=2000, exp",6,0.0,0.000425531914893617,0.0
PH,"B=2000, exp",7,0.0,0.0,0.0
PH,"B=2000, exp",8,0.06382978723404255,0.0010638297872340426,0.0
PH,"B=2000, exp",9,0.0,0.0002127659574468085,0.0
PH,"B=2000, exp",10,0.0,0.0002127659574468085,0.0
PH,"B=2000, exp",11,0.0,0.0002127659574468085,0.0
PH,"B=2000, exp",12,0.0,0.0014893617021276596,0.0
PH,"B=2000, exp",13,0.0,0.0002127659574468085,0.0
PH,"B=2000, exp",14,0.0,0.0,0.0
PH,"B=2000, exp",15,0.0,0.0002127659574468085,0.0
PH,"B=2000, exp",16,0.1702127659574468,0.0027659574468085106,0.0
PH,"B=2000, exp",17,0.0,0.0,0.0
PH,"B=2000, exp",18,0.06382978723404255,0.0010638297872340426,0.0002127659574468085
PH,"B=2000, exp",19,0.23404255319148937,0.004468085106382979,0.000425531914893617
PH,"B=2000, exp",20,0.1276595744680851,0.0019148936170212765,0.0010638297872340426
PH,"B=2000, exp",21,0.0425531914893617,0.000851063829787234,0.0
PH,"B=2000, exp",22,0.1276595744680851,0.0027659574468085106,0.0
PH,"B=2000, exp",23,0.23404255319148937,0.003617021276595745,0.0
PH,"B=2000, exp",24,0.1702127659574468,0.0029787234042553193,0.0002127659574468085
PH,"B=2000, exp",25,0.02127659574468085,0.000425531914893617,0.0
PH,"B=2000, exp",26,0.0,0.0,0.0
PH,"B=2000, exp",27,0.02127659574468085,0.000425531914893617,0.0
PH,"B=2000, exp",28,0.0,0.0,0.0
PH,"B=2000, exp",29,0.0425531914893617,0.002127659574468085,0.0002127659574468085
PH,"B=2000, GPD",0,0.02127659574468085,0.000851063829787234,0.0
PH,"B=2000, GPD",1,0.0,0.0,0.0
PH,"B=2000, GPD",2,0.10638297872340426,0.003829787234042553,0.000425531914893617
PH,"B=2000, GPD",3,0.2553191489361702,0.00425531914893617,0.000425531914893617
PH,"B=2000, GPD",4,0.0425531914893617,0.001276595744680851,0.0
PH,"B=2000, GPD",5,0.0,0.0,0.0
PH,"B=2000, GPD",6,0.0,0.0002127659574468085,0.0
PH,"B=2000, GPD",7,0.0,0.0,0.0
PH,"B=2000, GPD",8,0.06382978723404255,0.0010638297872340426,0.0
PH,"B=2000, GPD",9,0.0,0.0002127659574468085,0.0
PH,"B=2000, GPD",10,0.0,0.0002127659574468085,0.0
PH,"B=2000, GPD",11,0.0,0.0002127659574468085,0.0
PH,"B=2000, GPD",12,0.0,0.0014893617021276596,0.0
PH,"B=2000, GPD",13,0.0,0.0002127659574468085,0.0
PH,"B=2000, GPD",14,0.0,0.0,0.0
PH,"B=2000, GPD",15,0.0,0.0002127659574468085,0.0
PH,"B=2000, GPD",16,0.1702127659574468,0.0027659574468085106,0.0
PH,"B=2000, GPD",17,0.0,0.0,0.0
PH,"B=2000, GPD",18,0.02127659574468085,0.000851063829787234,0.0
PH,"B=2000, GPD",19,0.23404255319148937,0.004468085106382979,0.000425531914893617
PH,"B=2000, GPD",20,0.1276595744680851,0.0019148936170212765,0.0010638297872340426
PH,"B=2000, GPD",21,0.0425531914893617,0.000851063829787234,0.0
PH,"B=2000, GPD",22,0.1276595744680851,0.0027659574468085106,0.0
PH,"B=2000, GPD",23,0.23404255319148937,0.003617021276595745,0.0
PH,"B=2000, GPD",24,0.1702127659574468,0.0029787234042553193,0.0002127659574468085
PH,"B=2000, GPD",25,0.02127659574468085,0.0002127659574468085,0.0
PH,"B=2000, GPD",26,0.0,0.0,0.0
PH,"B=2000, GPD",27,0.0,0.000425531914893617,0.0
PH,"B=2000, GPD",28,0.0,0.0,0.0
PH,"B=2000, GPD",29,0.0425531914893617,0.002127659574468085,0.0002127659574468085
KS,"B=500, exp",0,0.0,0.0002127659574468085,0.0
KS,"B=500, exp",1,0.0,0.0,0.0
KS,"B=500, exp",2,0.02127659574468085,0.0014893617021276596,0.0
KS,"B=500, exp",3,0.46808510638297873,0.007659574468085106,0.0019148936170212765
KS,"B=500, exp",4,0.0,0.000425531914893617,0.0
KS,"B=500, exp",5,0.1702127659574468,0.0029787234042553193,0.000851063829787234
KS,"B=500, exp",6,0.0,0.0,0.0
KS,"B=500, exp",7,0.0,0.0002127659574468085,0.0
KS,"B=500, exp",8,0.06382978723404255,0.0019148936170212765,0.0
KS,"B=500, exp",9,0.06382978723404255,0.001702127659574468,0.0
KS,"B=500, exp",10,0.0,0.0002127659574468085,0.0
KS,"B=500, exp",11,0.0425531914893617,0.0010638297872340426,0.0
KS,"B=500, exp",12,0.0425531914893617,0.000851063829787234,0.0
KS,"B=500, exp",13,0.0,0.0,0.0
KS,"B=500, exp",14,0.0,0.0,0.0
KS,"B=500, exp",15,0.0,0.000425531914893617,0.0
KS,"B=500, exp",16,0.02127659574468085,0.000425531914893617,0.0
KS,"B=500, exp",17,0.0,0.0002127659574468085,0.0
KS,"B=500, exp",18,0.0,0.0002127659574468085,0.0
KS,"B=500, exp",19,0.0851063829787234,0.0019148936170212765,0.0
KS,"B=500, exp",20,0.06382978723404255,0.0006382978723404255,0.000425531914893617
KS,"B=500, exp",21,0.0425531914893617,0.000425531914893617,0.0
KS,"B=500, exp",22,0.06382978723404255,0.001702127659574468,0.0
KS,"B=500, exp",23,0.2765957446808511,0.003829787234042553,0.0010638297872340426
KS,"B=500, exp",24,0.14893617021276595,0.002553191489361702,0.0002127659574468085
KS,"B=500, exp",25,0.02127659574468085,0.000425531914893617,0.0
KS,"B=500, exp",26,0.0,0.000425531914893617,0.0
KS,"B=500, exp",27,0.1276595744680851,0.002127659574468085,0.0
KS,"B=500, exp",28,0.02127659574468085,0.000851063829787234,0.0
KS,"B=500, exp",29,0.02127659574468085,0.0010638297872340426,0.0
KS,"B=500, GPD",0,0.0,0.0,0.0
KS,"B=500, GPD",1,0.0,0.0,0.0
KS,"B=500, GPD",2,0.02127659574468085,0.0014893617021276596,0.0
KS,"B=500, GPD",3,0.46808510638297873,0.007659574468085106,0.0019148936170212765
KS,"B=500, GPD",4,0.0,0.000425531914893617,0.0
KS,"B=500, GPD",5,0.1702127659574468,0.0029787234042553193,0.0006382978723404255
KS,"B=500, GPD",6,0.0,0.0,0.0
KS,"B=500, GPD",7,0.0,0.0002127659574468085,0.0
KS,"B=500, GPD",8,0.0425531914893617,0.001702127659574468,0.0
KS,"B=500, GPD",9,0.02127659574468085,0.0014893617021276596,0.0
KS,"B=500, GPD",10,0.0,0.0002127659574468085,0.0
KS,"B=500, GPD",11,0.0,0.000425531914893617,0.0
KS,"B=500, GPD",12,0.0425531914893617,0.000851063829787234,0.0
KS,"B=500, GPD",13,0.0,0.0,0.0
KS,"B=500, GPD",14,0.0,0.0,0.0
KS,"B=500, GPD",15,0.0,0.000425531914893617,0.0
KS,"B=500, GPD",16,0.0,0.0002127659574468085,0.0
KS,"B=500, GPD",17,0.0,0.0002127659574468085,0.0
KS,"B=500, GPD",18,0.0,0.0002127659574468085,0.0
KS,"B=500, GPD",19,0.06382978723404255,0.001702127659574468,0.0
KS,"B=500, GPD",20,0.06382978723404255,0.0006382978723404255,0.000425531914893617
KS,"B=500, GPD",21,0.0425531914893617,0.000425531914893617,0.0
KS,"B=500, GPD",22,0.06382978723404255,0.001702127659574468,0.0
KS,"B=500, GPD",23,0.2765957446808511,0.003404255319148936,0.0010638297872340426
KS,"B=500, GPD",24,0.06382978723404255,0.002127659574468085,0.0
KS,"B=500, GPD",25,0.02127659574468085,0.000425531914893617,0.0
KS,"B=500, GPD",26,0.0,0.0002127659574468085,0.0
KS,"B=500, GPD",27,0.06382978723404255,0.002127659574468085,0.0
KS,"B=500, GPD",28,0.02127659574468085,0.000851063829787234,0.0
KS,"B=500, GPD",29,0.02127659574468085,0.0010638297872340426,0.0
KS,"B=2000, exp",0,0.02127659574468085,0.000851063829787234,0.0
KS,"B=2000, exp",1,0.0,0.0,0.0
KS,"B=2000, exp",2,0.1276595744680851,0.0027659574468085106,0.0002127659574468085
KS,"B=2000, exp",3,0.425531914893617,0.006170212765957447,0.0014893617021276596
KS,"B=2000, exp",4,0.0,0.0,0.0
KS,"B=2000, exp",5,0.14893617021276595,0.0027659574468085106,0.0002127659574468085
KS,"B=2000, exp",6,0.0,0.0,0.0
KS,"B=2000, exp",7,0.02127659574468085,0.0002127659574468085,0.0
KS,"B=2000, exp",8,0.0,0.0006382978723404255,0.0
KS,"B=2000, exp",9,0.0,0.0002127659574468085,0.0
KS,"B=2000, exp",10,0.0,0.0,0.0
KS,"B=2000, exp",11,0.0425531914893617,0.0010638297872340426,0.0
KS,"B=2000, exp",12,0.0,0.000425531914893617,0.0
KS,"B=2000, exp",13,0.0,0.0,0.0
KS,"B=2000, exp",14,0.0,0.0002127659574468085,0.0
KS,"B=2000, exp",15,0.0,0.0,0.0
KS,"B=2000, exp",16,0.0,0.0,0.0
KS,"B=2000, exp",17,0.0,0.0,0.0
KS,"B=2000, exp",18,0.06382978723404255,0.000851063829787234,0.0
KS,"B=2000, exp",19,0.0425531914893617,0.0014893617021276596,0.0
KS,"B=2000, exp",20,0.06382978723404255,0.0019148936170212765,0.0006382978723404255
KS,"B=2000, exp",21,0.02127659574468085,0.000425531914893617,0.0
KS,"B=2000, exp",22,0.0425531914893617,0.0006382978723404255,0.0
KS,"B=2000, exp",23,0.1276595744680851,0.0027659574468085106,0.0
KS,"B=2000, exp",24,0.0851063829787234,0.001702127659574468,0.0
KS,"B=2000, exp",25,0.0,0.0002127659574468085,0.0
KS,"B=2000, exp",26,0.0,0.0,0.0
KS,"B=2000, exp",27,0.0425531914893617,0.0006382978723404255,0.0
KS,"B=2000, exp",28,0.0851063829787234,0.0010638297872340426,0.0
KS,"B=2000, exp",29,0.02127659574468085,0.002340425531914894,0.0
KS,"B=2000, GPD",0,0.02127659574468085,0.000851063829787234,0.0
KS,"B=2000, GPD",1,0.0,0.0,0.0
KS,"B=2000, GPD",2,0.1276595744680851,0.0027659574468085106,0.0002127659574468085
KS,"B=2000, GPD",3,0.425531914893617,0.006170212765957447,0.0014893617021276596
KS,"B=2000, GPD",4,0.0,0.0,0.0
KS,"B=2000, GPD",5,0.14893617021276595,0.0027659574468085106,0.0002127659574468085
KS,"B=2000, GPD",6,0.0,0.0,0.0
KS,"B=2000, GPD",7,0.02127659574468085,0.0002127659574468085,0.0
KS,"B=2000, GPD",8,0.0,0.0006382978723404255,0.0
KS,"B=2000, GPD",9,0.0,0.0002127659574468085,0.0
KS,"B=2000, GPD",10,0.0,0.0,0.0
KS,"B=2000, GPD",11,0.0425531914893617,0.0010638297872340426,0.0
KS,"B=2000, GPD",12,0.0,0.000425531914893617,0.0
KS,"B=2000, GPD",13,0.0,0.0,0.0
KS,"B=2000, GPD",14,0.0,0.0002127659574468085,0.0
KS,"B=2000, GPD",15,0.0,0.0,0.0
KS,"B=2000, GPD",16,0.0,0.0,0.0
KS,"B=2000, GPD",17,0.0,0.0,0.0
KS,"B=2000, GPD",19,0.0425531914893617,0.001276595744680851,0.0
KS,"B=2000, GPD",18,0.06382978723404255,0.000851063829787234,0.0
KS,"B=2000, GPD",20,0.06382978723404255,0.0010638297872340426,0.0006382978723404255
KS,"B=2000, GPD",21,0.02127659574468085,0.000425531914893617,0.0
KS,"B=2000, GPD",22,0.0425531914893617,0.0006382978723404255,0.0
KS,"B=2000, GPD",23,0.1276595744680851,0.0027659574468085106,0.0
KS,"B=2000, GPD",24,0.0851063829787234,0.001702127659574468,0.0
KS,"B=2000, GPD",25,0.0,0.0002127659574468085,0.0
KS,"B=2000, GPD",26,0.0,0.0,0.0
KS,"B=2000, GPD",27,0.0425531914893617,0.0006382978723404255,0.0
KS,"B=2000, GPD",28,0.0851063829787234,0.0010638297872340426,0.0
KS,"B=2000, GPD",29,0.02127659574468085,0.002340425531914894,0.0
